Messages,Number_of_replies,message,num_reply,Message
NA,2,NA,NA,That's a lot of police sirens
NA,3,NA,NA,"hey now, ur a rockstar, turn the game on, get laid"
NA,41,NA,NA,So I've never casually hooked up with a stranger before and the idea seems weird to me. Like how can you go from just meeting someone to sex in a day? What are the steps?
NA,18,NA,NA,When she says your too thick for anal :(
NA,8,NA,NA,Chilling at the glade
NA,2,NA,NA,Dab bar opening near Laney College
NA,7,NA,NA,Wish coke didn't ruin my nose for a week afterwards
NA,5,NA,NA,"Hi guys, my name is Gary and I'm new here. My favorite movie is iRobot"
NA,3,NA,NA,The happiness the day after having sex in a long time. So good. Lol.
NA,2,NA,NA,Wanted to go to the opening of the flea market today but I can't seem to get out of bed
NA,9,NA,NA,I feel like everyone is getting laid but me and I have a decent social life and I know I'm not the cutest yet ppl who look worse than me get it more often. I feel like ppl only want me to chill w them
NA,12,NA,NA,Been feeling really paranoid all the time. Sometimes I worry I'm schizo.
NA,43,NA,NA,You better answer wisely
NA,3,NA,NA,That time of night when I have  cravings
NA,2,NA,NA,"The AEPI last night was one of the worst parties I've ever been to. It was a total wiener fest, got af, shit drinks, crowded and rudra reddy was there..... total ass of a party"
NA,1,NA,NA,Everyone you meet is fighting a battle you know nothing about. Be kind. Always. -skam
NA,4,NA,NA,IDUKS dog is in front of unit 1
NA,3,NA,NA,Anal
NA,18,NA,NA,"Dear anon who posted some crazy accusations about liberals, then accused another anon as someone who argued with him in the past, then deleted everything: you may have anger issues. Consider therapy."
NA,4,NA,NA,Can't stop eating.
NA,4,NA,NA,There's a car with a chain on it that rides around the piedmont greek row area every night and it's hella creepy lmao
NA,25,NA,NA,I'm literally an idiot bio major who only ever does the bare minimum and will probably end up working in something unrelated to my field AMA
NA,2,NA,NA,Who knew that loving each other too much would end our relationship?
NA,5,NA,NA,When your friends drag you along to Cal day and these five words in my head scream Are we having fun yet
NA,4,NA,NA,These last few weeks of school are just too overwhelming. I'm six feet from the edge and I'm thinking maybe six feet ain't so far down.
NA,5,NA,NA,Trump is so pro STEM he celebrated the March for Science & Earth Day by firing the Surgeon General! #MAGA!
NA,0,NA,NA,DJ Akoza so hard if you know who he is you real
NA,16,NA,NA,"My friends won't come to berkeley from SF but I don't wanna stay in. Should I go to kips alone, get drunk, hope for the best. Or, walk my dog around telegraph, drink boba smoke weed and people watch"
NA,2,NA,NA,"Visiting from Socal, good bars ? We're 23"
NA,14,NA,NA,What's a good website to surf when you're bored af
NA,14,NA,NA,I feel really bad I cheated on my boyfriend. I wanna talk to someone
NA,3,NA,NA,When you don't want to leave the house but have no food at home
NA,9,NA,NA,New in town :)
NA,10,NA,NA,"just had a disturbing dream i went to some easter party in the parking lot of a church I don't even go to, and I brought a cake shaped and colored exactly like my mother's butt"
NA,4,NA,NA,i masturbate all day every day. I hope my future SO is ready..
NA,1,NA,NA,Does anyplace serve sweet French fries? That sounds delicious
NA,9,NA,NA,Awful quiet around here... where's cowclitty? Dopechick?
NA,2,NA,NA,When sex and money are the focal points of life it'll often result in a lot of really fucked up experiences that make you feel like all people are like the ones you stupidly chose to meet.
NA,0,NA,NA,"When you visit Doses up in Davis for Picnic Day and dress up as Buzz Lightyear and go: Salty, salty, everywhere!"
NA,26,NA,NA,Head to toe in red
NA,27,NA,NA,You can't be in love with two people.
NA,7,NA,NA,"Saw this ""app that spies on your kids' online activity 24/7"" ad on YouTube. Ppl who came up with this idea r beyond fucked up on the inside, and parents who like this idea don't deserve to be parents"
NA,1,NA,NA,"You guys need Him, heathens"
NA,9,NA,NA,What's up SF
NA,8,NA,NA,Enjoyed the view
NA,14,NA,NA,who wants to hangout
NA,4,NA,NA,Anyone have a Sony blu rah remote I can use
NA,1,NA,NA,Wish I had Bastille tickets
NA,3,NA,NA,"When she says ""how could it be so wrong if it feels so right"" and you think she's so innocent but it turns out she's talking about smoking crack"
NA,4,NA,NA,I have a stupid cat
NA,0,NA,NA,Is there a bird watching club at Cal? I didn't see a table for them at Cal day
NA,0,NA,NA,All the people yelling today just reminds me of the hell yeah guy
NA,0,NA,NA,I'm just a broke nigga with high aspirations #hoodlife
NA,25,NA,NA,GET IT TOGETHER BRO
NA,1,NA,NA,Anyone been to secrets recently.
NA,6,NA,NA,Best pickup lines... go
NA,0,NA,NA,Just got home from work & all I want is a nap.. but I have homework
NA,4,NA,NA,"I heard Passion of the Christ was gory, but man I was seriously not prepared to be disturbed on this level. I'm never gonna be able to watch a Mel Gibson movie the same again"
NA,6,NA,NA,Might be moving down here soon but it would be a big career move and change of life. I am scared and or excited to hear about the opportunity. Hope to hear and chat with some of yall
NA,2,NA,NA,It's probably bad that I'm watching a tv show instead of getting off with someone right?
NA,3,NA,NA,My Austrian roommate as weird snack foods
NA,0,NA,NA,That awkward moment when Cal students from Yikyakk come up to Davis for Picnic Day and fuck more cows in a single day than you do during your four years here combined
NA,7,NA,NA,I find my self noticing that people on the left want to take no personal responsibility and people on the right do not want intuitions to take responsibility. I want both to take responsibility where
NA,17,NA,NA,Anyone up for some casual sex
NA,9,NA,NA,The amount that I masturbate just cannot be normal
NA,12,NA,NA,"men and women are so different. If a man found out a woman was masturbating to him, it would make his day. If a woman found out a man was masturbating to her, she would be creeped out."
NA,1,NA,NA,"Washboard Lisa wash away your sins , let em go down the drain . Everytime you move your dirty little hands , takes away our fears and our pain"
NA,14,NA,NA,Is the IMF a transnational corporation?
NA,8,NA,NA,"Just want a good fwb.  Don't want a relationship, just some good, consistent dick and someone to cuddle with/ get food with/ go on adventures with."
NA,15,NA,NA,How does blocking sather gate during an event get you higher wages???
NA,0,NA,NA,"So the mystery is, has any Davis made it out of shittown Davis alive without caught and clittied by the cows?"
NA,0,NA,NA,Who's going to Balkan Beat Box @ the UC theatre tonight!?
NA,1,NA,NA,"When I see an excited admit in Davis for Picnic Day. Me:""It sucks. Your going to get a limp dick from fucking all the crusty cows. Better get a check-up for UCD-positive every week."" He:"
NA,1,NA,NA,Looking for a kinky submissive girl for some fun sexting
